Cód.,Bairro,Domicílios - Total,Domicílios - 1 morador,Domicílios - casa,Domicílios - apartamento,Domicílios ocupação - Próprio,Domicílios ocupação- alugado,Rede geral de esgoto ou pluvial,Lixo Coletado,Média de moradores domicílios,Residente – Total,Residente - não pensionista,10+ anos- Total,10+ anos – alfabetizadas,10+ anos – Taxa de alfabetização,5+ anos – total,5+ anos – alfabetizadas,Rendimento médio mensal dos domicílios (Reais),rendimento mediano mensal dos domicílios (Reais),Rendimento médio mensal 10+ anos,Rendimento mediano mensal 10+ anos,Domicílios até 1 salário mínimo (Unidades),Domicílios até 15+ salário mínimo (Unidades),Domicílios  sem rendimentos (Unidades),Residentes – Homens,Residentes – Mulheres,Residentes – 0 a 9 anos,Residentes – 10 a 19 anos,Residentes – 20 a 29 anos,Residentes – 30 a 39 anos,Residentes – 40 a 49 anos,Residentes – 50 a 59 anos ,Residentes – 60 a 69 anos ,Residentes – 70 ou mais
3201308001,Cruzeiro do Sul - Cariacica,1431,201,1099,329,962,416,1412,1427,2.95,4218,4215,3736,3623,96.98,3988,3841,2130.86,1530,1205.14,800,144,25,55,1997,2221,482,656,697,689,683,502,289,220
3201308002,Vasco da Gama - Cariacica,392,58,372,20,296,95,320,390,2.95,1158,1158,1013,978,96.54,1081,1035,2011.79,1530,1133.08,835,29,2,8,526,632,145,154,214,197,155,140,76,77
3201308003,São Francisco - Cariacica,2162,311,1421,729,1576,503,2083,2162,2.96,6434,6398,5551,5371,96.76,5996,5718,1917.97,1500,1097.38,750,251,39,40,3078,3356,883,1032,1272,1098,933,695,330,191
3201308004,Vila Palestina - Cariacica,1007,144,761,232,610,318,1002,1007,2.94,2966,2958,2659,2560,96.28,2805,2664,2446.75,2000,1372.84,1000,58,27,65,1435,1531,307,412,614,517,439,338,212,127
3201308005,Rosa da Penha - Cariacica,1230,133,1093,106,895,280,1216,1227,3.1,3812,3809,3317,3181,95.9,3569,3380,1986.06,1600,1127.53,800,106,18,65,1820,1992,495,579,696,702,529,405,252,154
3201308006,Itapemirim - Cariacica,802,88,768,33,623,103,736,774,3.16,2535,2535,2145,2010,93.71,2344,2148,1595.42,1290,896.03,600,124,4,19,1227,1308,390,444,486,444,319,260,124,68
3201308007,Jardim Botanico - Cariacica,2046,203,2005,7,1669,261,1572,1913,3.53,7236,7231,5853,5422,92.64,6549,5863,1261.36,1090,723.67,590,356,5,93,3549,3687,1383,1478,1470,1041,898,552,263,151
3201308008,Santa Barbara - Cariacica,1653,178,1545,104,1313,293,1413,1551,3.17,5240,5231,4451,4271,95.96,4829,4520,1675.56,1400,942.24,700,229,6,49,2559,2681,789,929,1032,909,775,452,229,125
3201308009,Morada de Santa Fé - Cariacica,2071,249,1520,508,1523,467,2021,2069,3.03,6272,6265,5492,5341,97.25,5860,5634,2353.6,1900,1298.7,914,150,54,79,3020,3252,780,934,1177,1147,921,658,402,253
3201308010,Santa Paula - Cariacica,147,19,147,-,126,15,15,146,3.2,473,470,404,353,87.38,443,369,1253.41,1020,795.16,600,22,-,7,228,245,69,101,77,81,61,43,29,12
3201308011,Santa Catarina - Cariacica,1241,142,1136,105,923,208,676,1187,3.28,4078,4075,3361,3134,93.25,3717,3373,1346.59,1133,778.02,580,227,3,49,1992,2086,717,772,776,681,496,344,187,105
3201308012,Vista Linda - Cariacica,394,43,389,1,358,18,213,347,3.55,1398,1398,1098,983,89.53,1275,1097,1101.53,1020,665.65,510,83,-,17,678,720,300,286,232,232,139,112,48,49
3201308013,Vila Isabel - Cariacica,600,61,565,5,489,67,470,493,3.37,2025,2021,1641,1504,91.65,1839,1633,1262.92,1020,756.92,570,136,2,17,994,1031,384,395,356,346,231,161,93,59
3201308014,Bandeirantes - Cariacica,1664,162,1646,16,1288,246,1461,1601,3.28,5468,5463,4616,4316,93.5,5027,4599,1431.2,1210,789.34,600,241,3,35,2668,2800,852,986,1072,899,733,567,211,148
3201308015,Caçaroca - Cariacica,125,17,125,-,100,12,13,99,3.49,436,436,352,337,95.74,402,371,1386.57,1250,763.53,580,26,-,2,214,222,84,82,85,64,58,31,17,15
3201308016,Alzira Ramos - Cariacica,628,85,627,1,520,52,55,418,3.3,2075,2075,1680,1536,91.43,1887,1660,1083.18,1000,678.88,510,185,-,27,1088,987,395,397,356,332,243,189,106,57
3201308017,Jardim de Alah - Cariacica,682,69,681,-,581,69,441,614,3.33,2271,2268,1882,1735,92.19,2081,1853,1365.41,1110,749.98,580,101,3,18,1118,1153,389,429,440,381,263,201,105,63
3201308018,Padre Gabriel - Cariacica,1330,163,1329,1,1160,136,1149,1286,3.54,4710,4703,3633,3227,88.82,4187,3475,1111.44,955,681.46,510,357,4,61,2352,2358,1077,989,915,605,548,324,155,97
3201308019,Jardim Campo Grande - Cariacica,866,101,857,1,691,97,57,670,3.41,2957,2957,2377,2203,92.68,2654,2383,1162.48,1020,701.54,510,208,1,28,1458,1499,580,611,516,485,314,255,128,68
3201308020,Campo Belo - Cariacica,368,41,368,-,320,44,285,352,3.42,1257,1256,1048,978,93.32,1155,1046,1370.46,1160,794.11,600,56,1,13,632,625,209,265,232,202,143,106,61,39
3201308021,São Benedito - Cariacica,546,53,538,5,459,75,518,536,3.29,1797,1796,1505,1424,94.62,1662,1544,1286.51,1022,752.07,511,80,3,28,865,932,292,314,342,297,232,163,88,69
3201308022,Castelo Branco - Cariacica,2855,293,2780,60,2241,403,2392,2721,3.31,9451,9448,7751,7242,93.43,8642,7824,1327.95,1110,775.03,600,485,4,69,4603,4848,1700,1797,1723,1640,1036,845,423,287
3201308023,Vista Mar - Cariacica,1906,213,1882,19,1563,262,1650,1828,3.27,6224,6224,5199,4907,94.38,5729,5288,1473.51,1200,847.21,600,309,5,62,2962,3262,1025,1078,1248,1039,754,658,247,175
3201308024,Sotelandia - Cariacica,658,69,655,3,500,121,521,632,3.28,2160,2155,1761,1658,94.15,1956,1794,1364.78,1154,791.73,600,108,1,19,1035,1125,399,389,421,347,269,203,72,60
3201308025,Bela Aurora - Cariacica,1877,230,1774,98,1465,366,1775,1865,3.1,5827,5824,5026,4816,95.82,5453,5141,1713.29,1410,995.95,700,227,15,90,2814,3013,801,927,1073,896,862,612,355,301
3201308026,Maracanã - Cariacica,786,67,764,22,602,112,730,779,3.27,2570,2567,2175,2079,95.59,2392,2239,1652.73,1310,964.45,700,100,8,23,1269,1301,395,473,455,427,373,251,127,69
3201308027,Boa Sorte - Cariacica,1584,178,1344,239,1175,227,1513,1536,3.13,4954,4954,4263,4112,96.46,4624,4385,1617.51,1400,923.29,700,179,11,64,2441,2513,691,829,951,833,699,490,278,183
3201308028,São Conrado - Cariacica,573,48,493,54,473,91,435,571,3.41,1978,1953,1670,1579,94.55,1829,1707,1592.11,1267.5,963.78,600,58,6,49,977,1001,308,376,336,303,312,176,100,67
3201308029,Vera Cruz - Cariacica,828,83,744,81,567,188,793,822,3.14,2601,2597,2268,2195,96.78,2435,2316,2233,1755,1221.41,880,61,14,22,1256,1345,333,409,487,368,439,270,149,146
3201308030,Jardim América - Cariacica,2677,363,2359,316,1829,730,2533,2676,3,8069,8025,7102,6975,98.21,7603,7352,2775.75,2020,1496.6,1000,173,114,35,3732,4337,967,1105,1349,1289,1186,941,619,613
3201308031,Chácaras União - Cariacica,37,2,37,-,33,-,31,37,3.59,133,133,116,98,84.48,126,106,1287.73,1020,768.48,510,4,-,3,73,60,17,31,20,18,19,18,6,4
3201308032,São Geraldo - Cariacica,1568,202,1117,441,1153,350,1529,1566,3.02,4736,4735,4159,4053,97.45,4431,4270,2198.46,1770,1216.98,850,133,31,48,2304,2432,577,735,835,812,750,517,311,199
3201308033,Parque Gramado - Cariacica,312,37,309,2,237,48,246,284,3.31,1038,1032,871,813,93.34,957,874,1396.99,1200,836.3,600,58,-,9,519,519,167,226,168,182,137,89,40,29
3201308034,Rio Marinho - Cariacica,1566,141,1531,12,1254,227,1118,1524,3.4,5335,5328,4407,4115,93.37,4867,4412,1377.05,1200,794.15,600,231,4,87,2629,2706,928,1015,1076,881,662,426,219,128
3201308035,Área Não Identificada 2/2 - Cariacica,6,2,6,-,3,-,1,2,3,18,18,13,11,84.62,17,14,1238.33,605,928.75,605,3,-,-,11,7,5,1,4,2,3,1,-,2
3201308036,Área Não Identificada 1/2 - Cariacica,49,4,49,-,43,2,-,13,3.35,177,164,153,132,86.27,166,142,1550.37,1020,926.44,510,10,-,5,101,76,24,32,31,33,14,12,18,13
3201308037,Alice Coutinho - Cariacica,302,45,302,-,275,19,34,213,3.45,1043,1042,790,695,87.97,909,752,753.52,650,578.87,510,106,-,33,494,549,253,214,202,173,92,54,36,19
3201308038,Antônio Ferreira Borges - Cariacica,506,46,506,-,426,40,276,436,3.43,1738,1738,1471,1358,92.32,1624,1459,1497.56,1200,790.16,570,84,4,15,866,872,267,298,358,245,239,154,94,83
3201308039,Cariacica Sede - Cariacica,1918,200,1889,9,1670,175,948,1687,3.33,6555,6379,5650,5340,94.51,6123,5720,1831.7,1400,1011.24,700,212,33,69,3221,3334,905,1096,1177,1106,858,645,406,362
3201308040,Prolar - Cariacica,986,94,982,3,818,136,357,862,3.33,3292,3284,2699,2471,91.55,3010,2675,1235.76,1020,739.37,568.5,180,3,51,1613,1679,593,639,604,547,420,278,108,103
3201308041,Vila Merlo - Cariacica,700,68,698,1,596,82,133,628,3.2,2264,2241,1915,1758,91.8,2089,1866,1541.29,1200,894.23,640,111,3,19,1106,1158,349,378,429,384,298,228,117,81
3201308042,Porto de Cariacica - Cariacica,1311,144,1310,1,1110,142,451,1100,3.33,4376,4368,3624,3320,91.61,3995,3561,1367.43,1040,830.63,600,224,10,52,2166,2210,752,825,795,717,482,426,224,155
3201308043,Santa Luzia - Cariacica,686,59,678,7,594,63,529,621,3.42,2602,2342,2191,2028,92.56,2417,2179,1364.1,1110,788.68,600,110,2,23,1340,1262,411,633,462,367,306,244,112,67
3201308044,São João Batista - Cariacica,612,80,609,3,492,82,444,442,3.27,2005,2002,1674,1511,90.26,1854,1622,1391.5,1031,802.96,600,137,3,16,991,1014,331,358,371,317,250,163,118,97
3201308045,Tucum - Cariacica,894,113,884,2,713,115,664,813,3.07,2915,2738,2538,2380,93.77,2720,2492,1879.53,1476,1058,700,101,9,23,1489,1426,377,500,464,430,480,340,160,164
3201308046,Itaciba - Cariacica,2525,288,2310,178,1927,469,2244,2482,3.15,7953,7946,6927,6696,96.67,7450,7083,2004.15,1530,1095.06,750,252,34,95,3826,4127,1026,1237,1481,1229,1136,918,530,396
3201308047,Nova Brasília - Cariacica,1832,199,1747,84,1518,284,1673,1812,3.15,5766,5762,5054,4896,96.87,5415,5197,1799.84,1500,1049.63,760,202,17,80,2769,2997,712,923,1024,950,802,684,397,274
3201308048,Oriente - Cariacica,1468,179,1450,3,1233,170,1360,1405,3.14,4612,4602,3968,3739,94.23,4291,3975,1555.56,1300,886.46,645,206,8,47,2239,2373,644,766,902,705,644,474,260,217
3201308049,Alto Lage - Cariacica,2153,273,2023,129,1436,446,2005,2109,3.04,6551,6549,5776,5596,96.88,6164,5882,2354.56,1710,1270.94,810,200,56,43,3116,3435,775,991,1179,985,994,783,408,436
3201308050,Expedito - Cariacica,728,89,724,2,567,83,728,726,3.14,2286,2286,2003,1923,96.01,2149,2036,1878.08,1530,1083.4,800,71,10,41,1092,1194,283,356,385,381,322,280,156,123
3201308051,Sotema - Cariacica,446,62,437,4,318,78,441,446,3.13,1399,1398,1200,1159,96.58,1296,1220,1832.09,1500,1054.91,750,46,4,22,641,758,199,215,262,200,190,163,96,74
3201308052,Alto da Boa Vista - Cariacica,916,150,905,11,702,127,892,907,3.13,2869,2869,2454,2369,96.54,2656,2525,1896.08,1510,1078.09,750,104,12,34,1375,1494,415,435,549,419,392,323,174,162
3201308053,Itaquari - Cariacica,1185,155,1142,35,862,209,1158,1183,3.15,3734,3730,3283,3169,96.53,3515,3355,2277.87,1700,1239.1,800,107,36,34,1777,1957,451,563,655,569,574,427,269,226
3201308054,Rio Branco - Cariacica,874,107,841,30,753,106,843,856,3.14,2744,2744,2336,2207,94.48,2547,2376,1440.51,1200,826.12,600,124,5,28,1298,1446,408,462,505,471,372,264,151,111
3201308055,Itangua - Cariacica,1867,227,1662,197,1448,316,1765,1845,3.15,5876,5875,5018,4793,95.52,5459,5136,1679.67,1400,953.91,700,229,15,102,2800,3076,858,962,1154,941,814,596,314,237
3201308056,Dom Bosco - Cariacica,753,101,544,205,490,213,734,748,3.04,2304,2289,1980,1903,96.11,2145,2013,2050.97,1610,1134.86,800,74,18,22,1146,1158,324,341,458,396,307,256,115,107
3201308057,Santa Cecilia - Cariacica,674,80,593,78,495,122,597,637,3.04,2059,2049,1801,1718,95.39,1935,1828,1863.12,1500,1022.75,800,81,7,16,991,1068,258,334,385,327,322,213,122,98
3201308058,Vila Cajueiro - Cariacica,42,6,42,-,32,2,-,16,3.33,140,140,121,86,71.07,130,92,1064.76,755,688,510,15,-,-,71,69,19,22,26,25,19,14,7,8
3201308059,Pica-Pau - Cariacica,125,23,125,-,96,6,-,104,3.02,547,377,471,385,81.74,512,410,797.28,600,569.33,510,51,-,9,274,273,76,103,92,59,62,57,42,56
3201308060,Porto das Pedras - Cariacica,..,..,X,X,X,X,..,..,X,10,..,X,..,X,..,..,X,X,X,X,..,..,X,..,..,..,..,..,..,..,..,..,..
3201308061,Nova Rosa da Penha - Cariacica,4100,508,4096,3,3609,367,2253,3786,3.38,13849,13848,11216,10205,90.99,12600,11078,1008.42,1020,648.35,510,1031,4,275,6819,7030,2633,2854,2815,2118,1379,1128,562,360
3201308062,Porto Engenho - Cariacica,..,..,X,X,X,X,..,..,X,9,..,X,..,X,..,..,X,X,X,X,..,..,X,..,..,..,..,..,..,..,..,..,..
3201308063,Nova Canaa - Cariacica,749,80,744,5,671,51,426,647,3.55,2662,2662,2193,2013,91.79,2429,2167,1086.18,1020,703.15,600,135,-,64,1313,1349,469,610,494,396,314,195,106,78
3201308064,Porto Novo - Cariacica,2254,224,2249,5,1842,272,1491,2113,3.43,7740,7737,6337,5916,93.36,7068,6400,1469.42,1157.5,836.88,600,400,18,58,3823,3917,1403,1499,1457,1270,957,601,330,223
3201308065,Presidente Medice - Cariacica,2383,246,2371,7,1932,264,2275,2369,3.34,7971,7967,6713,6252,93.13,7406,6702,1450.77,1217.5,785.67,600,350,4,57,3889,4082,1258,1462,1412,1368,1040,699,391,341
3201308066,Flexal I - Cariacica,1147,101,1142,-,1000,97,610,1011,3.41,3917,3917,3129,2890,92.36,3552,3208,1429.8,1210,807.47,620,163,3,35,1968,1949,788,726,848,625,364,303,156,107
3201308067,Retiro Saudoso - Cariacica,543,64,542,-,465,57,84,473,3.41,1853,1853,1492,1382,92.63,1691,1539,896.5,869,670.52,510,117,-,91,918,935,361,379,336,311,225,130,71,40
3201308068,Grauna - Cariacica,1245,134,1234,10,1070,132,772,1183,3.37,4201,4198,3492,3236,92.67,3867,3483,1405.34,1200,823.07,600,191,6,78,2053,2148,709,771,821,669,532,392,180,127
3201308069,Aparecida - Cariacica,1594,172,1591,-,1253,177,1376,1492,3.42,5460,5454,4493,4139,92.12,4989,4488,1174.68,1020,690.13,519,295,1,76,2730,2730,967,1132,1041,872,637,412,212,187
3201308070,Porto Santana - Cariacica,2077,225,2044,26,1642,342,1574,2069,3.24,6733,6730,5760,5502,95.52,6256,5871,1916.38,1500,1046.03,730,222,24,45,3250,3483,973,1089,1309,1041,971,673,366,311
3201308071,Nova Valverde - Cariacica,899,62,887,10,763,111,627,826,3.45,3099,3099,2573,2413,93.78,2840,2594,1346.32,1150,809.59,600,129,2,51,1535,1564,526,551,576,522,394,300,141,89
3201308072,Bubú - Cariacica,397,47,397,-,365,22,105,345,3.36,1332,1332,1122,1064,94.83,1223,1135,1532.4,1300,920.37,700,48,2,21,668,664,210,233,245,213,169,127,62,73
3201308073,Campo Verde - Cariacica,1293,147,1264,10,1080,161,847,1220,3.33,4301,4301,3654,3401,93.08,3993,3621,1337.34,1110,776.81,600,220,3,35,2133,2168,647,888,829,666,546,426,165,134
3201308074,Vila Prudêncio - Cariacica,853,90,843,10,717,87,332,683,3.4,2903,2903,2404,2195,91.31,2656,2356,1220.58,1040,705.87,550,126,-,42,1422,1481,499,572,590,453,362,224,117,86
3201308075,Cangaíba - Cariacica,88,11,85,3,74,3,17,61,3.03,267,267,238,227,95.38,250,237,1401.78,1410,900.42,700,10,-,11,157,110,29,43,44,47,39,35,23,7
3201308076,Planeta - Cariacica,395,49,394,-,318,50,291,334,3.34,1319,1319,1114,1049,94.17,1216,1119,1264.42,1020,731.25,550,81,1,14,627,692,205,264,257,210,199,116,42,26
3201308077,Santana - Cariacica,1964,209,1943,21,1559,343,1855,1941,3.26,6403,6400,5438,5253,96.6,5938,5624,1938.21,1510,1087.12,800,174,29,85,3117,3286,965,1069,1201,1205,798,570,371,224
3201308078,Tabajara - Cariacica,332,43,332,-,267,52,271,330,3.15,1047,1047,903,872,96.57,985,940,1608.96,1350,903.85,755,22,-,4,515,532,144,183,184,186,140,106,63,41
3201308079,Santo Antônio - Cariacica,755,68,751,4,636,93,457,735,3.35,2550,2528,2105,1949,92.59,2339,2088,1351.44,1133.5,771.92,600,112,1,23,1212,1338,445,454,510,396,308,244,118,75
3201308080,Novo Horizonte - Cariacica,922,135,917,5,721,149,501,859,3.12,2877,2877,2405,2224,92.47,2637,2399,1099.75,1005,700.74,527,198,-,62,1442,1435,472,530,595,480,375,230,123,72
3201308081,São Gonçalo - Cariacica,241,35,241,-,214,19,145,220,3.09,756,744,633,578,91.31,698,619,958.56,960,673.4,510,63,-,28,371,385,123,139,159,106,89,77,35,28
3201308082,Piranema - Cariacica,609,83,598,11,522,60,276,490,3.1,1893,1889,1621,1498,92.41,1751,1589,1322.32,1020,811.18,600,105,-,38,957,936,272,318,385,284,285,179,93,77
3201308083,Vila dos Reis - Cariacica,938,111,930,7,809,98,381,841,3.34,3137,3134,2591,2417,93.28,2874,2614,1127.86,1020,709.23,510,229,4,37,1532,1605,546,626,620,512,364,260,107,102
3201308084,Novo Brasil - Cariacica,977,133,969,7,767,131,125,746,3.13,3061,3055,2531,2302,90.95,2801,2477,1195.91,1020,735.6,510,228,2,52,1493,1568,530,564,541,459,392,283,167,125
3201308085,Nova Campo Grande - Cariacica,111,19,111,-,90,5,2,42,3.21,357,356,283,248,87.63,324,276,1074.24,700,672.76,510,37,-,3,176,181,74,63,54,48,41,32,26,19
3201308086,Vista Dourada - Cariacica,804,96,798,6,683,79,328,720,3.39,2728,2726,2265,2120,93.6,2495,2277,1167.39,1020,703.58,512.5,179,-,40,1384,1344,463,548,504,465,338,228,106,76
3201308087,Mucuri - Cariacica,872,94,713,152,703,125,744,855,3.27,2855,2854,2381,2239,94.04,2621,2409,1239,1022,760.85,560,147,2,65,1419,1436,474,499,601,438,368,274,120,81
3201308088,Vila Independência - Cariacica,1727,197,1495,221,1366,306,1583,1705,3.17,5478,5477,4645,4366,93.99,5058,4697,1392.36,1020,834.53,600,341,6,78,2679,2799,833,955,1063,917,739,517,262,192
3201308089,Flexal II - Cariacica,1975,214,1971,3,1749,152,1552,1699,3.45,6820,6815,5469,4913,89.83,6173,5347,1045.76,1020,646.8,510,456,1,106,3331,3489,1351,1395,1316,1028,756,520,295,159
3201308090,Serra do Anil - Cariacica,31,3,31,-,26,3,5,16,3.45,107,107,86,82,95.35,99,89,1598.55,1150,971.67,700,1,-,3,60,47,21,15,21,18,18,7,5,2
3201308091,Nova Esperança - Cariacica,1144,241,1143,-,1052,70,146,1037,3.04,3484,3483,2796,2565,91.74,3178,2834,771.32,700,577.1,510,311,-,149,1734,1750,688,692,680,583,341,257,148,95
3201308092,Operário - Cariacica,934,103,928,5,785,113,590,888,3.22,3009,3007,2543,2333,91.74,2777,2490,1260.32,1100,771.55,600,164,1,78,1505,1504,466,524,585,500,366,313,143,112
3201308093,Vila Capixaba - Cariacica,1790,208,1077,705,1207,515,1633,1787,2.96,5307,5298,4685,4577,97.69,4972,4816,2388.14,1900,1307.02,1000,137,42,49,2538,2769,622,691,1074,910,754,604,382,270
3201308094,Campo Grande - Cariacica,4454,659,1734,2706,2762,1523,4353,4451,2.89,12897,12876,11658,11459,98.29,12329,12006,3315.63,2500,1798.2,1200,216,297,145,6005,6892,1239,1784,2418,1957,2052,1730,924,793
3201308095,Vila Esperança - Cariacica,507,53,437,69,422,75,494,507,3.1,1572,1572,1392,1377,98.92,1488,1452,2780.12,2220,1468.25,1100,15,20,10,736,836,180,212,226,262,268,161,135,128
3201308096,Campina Grande - Cariacica,875,80,846,28,740,102,347,772,3.39,2969,2969,2489,2317,93.09,2739,2482,1373.07,1200,777.63,600,128,1,24,1492,1477,480,601,548,485,410,236,130,79
3201308097,Santo André - Cariacica,1363,146,1323,37,1079,218,1179,1317,3.16,4314,4312,3664,3484,95.09,4028,3756,1629.28,1357,896.61,650,180,14,40,2109,2205,650,752,794,783,594,412,194,135
3201308098,Formate - Cariacica,30,3,30,-,25,-,17,23,3.3,114,99,102,90,88.24,108,92,1317.27,1300,721.34,612.5,4,-,1,57,57,12,21,21,18,13,13,11,5
